rule_id	category	from	to	count	n_chapters	n_contexts	reverse_count	witnesses	examples	status	comment
R0111	other	d	h	1	1	1	0	N	SS.1.14.35 N «vadati ||» -> «vahati»	proposed	
R0112	other	d	j	1	1	1	0	H	SS.1.1.22 H «saṃsvedajo hridajarāyujāṇḍajasaṃjñās» -> «saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ»	proposed	
R0113	other	d	r	1	1	1	0	H	SS.1.16.15 H «bandhān upapādya» -> «bandhān upadhārya»	proposed	
R0114	other	d	t	1	1	1	0	H	SS.5.3.39.add-1 H «bhaved bhinnavalāsaheṣu» -> «bhavet bhinnavalāsaheṣu»	proposed	
R0115	other	e	aṃ	1	1	1	0	K	SS.5.8.34-verse-1 K «koṭhajanme ca» -> «koṭhajanmaṃ ca»	proposed	
R0116	other	g	k	1	1	1	0	K	SS.5.8.86 K «koṭhaṃ sagaṇḍasthiram» -> «koṭhaṃ sakaṇḍūsthiram»	proposed	
R0117	other	ga 	'	1	1	1	0	H	SS.5.7.4 H «ga ralaś» -> «'ralaś»	proposed	
R0118	other	k	bh	1	1	1	0	H	SS.5.7.44 H «'kilālimān | avyaktavadhiro» -> «'bhilālimān | avyaktavadhiro»	proposed	
R0119	other	k	t	1	1	1	0	K	SS.5.1.49 K «dhātakīpuṣpa jamvvāmrāsthi harīkakaiḥ |» -> «dhātakīpuṣpajambvāmrāsthiharītakaiḥ»	proposed	
R0120	other	ko 		1	1	1	0	K	SS.1.16.3 K «ko kumāram» -> «kumāram»	proposed	
R0121	other	mo 	ā	1	1	1	0	N	SS.1.16.8 N «mo muñcet |» -> «āmuñcet»	proposed	
R0122	other	n	d	1	1	1	0	H	SS.5.1.20 H «sphoṭayed vilikhen mahīṃ |» -> «sphoṭayed vilikhed mahīm»	proposed	
R0123	other	n	t	1	1	1	0	K	SS.5.5.8 K «vadhnīyān mantrakovidaḥ | sā tu» -> «badhnīyāt mantrakovidaḥ | sā tu»	proposed	
R0124	other	nā		1	1	1	0	K	SS.5.1.59 K «sādhayed avalekhanāvat |» -> «sādhayed avalekhavat»	proposed	
R0125	other	o	aḥ	1	1	1	1	H	SS.5.8.5 H «ucciṭiṅgās tyalpavāco» -> «ucciṭiṅgāgnyalpavācaḥ»	proposed	
R0126	other	o	āṃ	1	1	1	0	N	SS.1.14.6 N «striyo» -> «striyāṃ»	proposed	
R0127	other	o '	ā	1	1	1	0	H	SS.5.4.38 H «grāsārthino 'nnam» -> «grāsārthinānnam»	proposed	
R0128	other	o h	ād	1	1	1	0	H	SS.1.1.22 H «saṃsvedajo hridajarāyujāṇḍajasaṃjñās» -> «saṃsvedajādrijajarāyujāṇḍajasaṃjñaḥ»	proposed	
R0129	other	p	dh	1	1	1	0	H	SS.1.16.15 H «bandhān upapādya» -> «bandhān upadhārya»	proposed	
R0130	other	p	m	1	1	1	0	H	SS.1.13.22.1 H «indrapadaḥ» -> «indramadaḥ»	proposed	
R0131	other	p	v	1	1	1	2	H	SS.5.8.32-verse H «dāhajvararujāpahāḥ || tair» -> «dāhajvararujāvahāḥ | tair»	proposed	
R0132	other	p	ṭ	1	1	1	0	N	SS.1.16.10 N «cārddhakavāpasandhikaḥ |» -> «cārddhakapāṭasandhikaḥ»	proposed	
R0133	other	pi 		1	1	1	0	H	SS.5.7.42 H «pi karṇṇikām» -> «karṇṇikāṃ»	proposed	
R0134	other	r	s	1	1	1	0	H	SS.5.3.35.2 H «raukṣyātaikṣṇyoṣṇyād vikāsitvāt tathaiva» -> «saukṣmyataikṣṇyoṣṇyād vikāsitvāt tathaiva»	proposed	
R0135	other	s t	gn	1	1	1	0	H	SS.5.8.5 H «ucciṭiṅgās tyalpavāco» -> «ucciṭiṅgāgnyalpavācaḥ»	proposed	
R0136	other	t	c	1	1	1	0	H	SS.5.4.28 H «kecit śūdrās te» -> «kecic chūdrās te»	proposed	
R0137	other	t	s	1	1	1	0	K	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni»	proposed	
R0138	other	v	bh	1	1	1	0	N	SS.1.16.19 N «athāpraduṣṭasyāvivardhanārtham» -> «athāpraduṣṭasyābhivarddhanārtham»	proposed	
R0139	other	v	c	1	1	1	0	H	SS.1.16.10 H «vārddhakavāṭasandhikaḥ |» -> «cārddhakapāṭasandhikaḥ»	proposed	
R0140	other	v	r	1	1	1	0	H	SS.5.7.60.add-1 H «vījaratnauṣadhīgavbhaiḥ» -> «bījaratnauṣadhīgarbhaiḥ»	proposed	
R0141	other	va	bā	1	1	1	0	H	SS.5.8.140.add-1 H «vyādhikāryavalāvalaṃ ||» -> «vyādhikāryabālābalaṃ»	proposed	
R0142	other	vy		1	1	1	0	H	SS.5.3.14 H «vvyāpa» -> «vāpy»	proposed	
R0143	other	y	i	1	1	1	0	K	SS.1.1.12 K «prakṣyaty» -> «prakṣyati»	proposed	
R0144	other	ñ	ś	1	1	1	1	H	SS.5.7.42 H «sthirān mandarujāñ» -> «sthirāṃ mandarujāś»	proposed	
R0145	other	ā	o	1	1	1	0	K	SS.5.8.115 K «kasanādaṃśā» -> «kasanādaṃśo»	proposed	
R0146	other	ś	ñ	1	1	1	1	H	SS.5.2.31 H «pralepakaś» -> «pralepakañ»	proposed	
R0147	other	ś	ḥ	1	1	1	0	K	SS.5.8.63 K «śyāvaś» -> «śyāvaḥ»	proposed	
R0148	other	ḍ	ṭ	1	1	1	0	H	SS.5.8.105 H «piḍakās» -> «piṭakā»	proposed	
R0149	other	ḥ |		1	1	1	0	K	SS.5.8.142 K «suśrutaḥ |» -> «suśruta»	proposed	
R0150	punctuation	 		250	13	177	17	H K N	SS.1.1.4 K «bhagavacchārīramānasāgantu bhi» -> «bhagavañ śārīramānasāgantubhir» ‖ SS.1.1.5 K «a dhyā pyāś ca» -> «adhyāpyāś ca» ‖ SS.1.1.5 K «a dhyā pyāś ca» -> «adhyāpyāś ca»	proposed	
R0151	punctuation	 |		30	8	15	6	H K N	SS.1.1.34 N «bhavanti |» -> «bhavanti» ‖ SS.1.13.8 H «avasecayet | ācūṣaṇād antarddīptenālāvunā |» -> «avasecayet | ācūṣaṇād antarddīptenālābunā» ‖ SS.1.14.14 K «kalāmatāni |» -> «kalāśatāni»	proposed	
R0152	punctuation		 	17	7	11	250	H K N	SS.1.2.3 N «upanayet| sa hi» -> «upanayet | sa hi» ‖ SS.1.2.3 H «upanayet| sa hi» -> «upanayet | sa hi» ‖ SS.1.2.6 N «vrūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsarya rūṣa paiśunyānṛtālasyāsyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni»	proposed	
R0153	punctuation	 ||		11	6	7	0	H K N	SS.1.13.23.1 H «bhavataś cātra ||» -> «bhavataś cātra» ‖ SS.1.14.35 N «vadati ||» -> «vahati» ‖ SS.5.3.39.add-2 H «samanudhāvati ||» -> «samanudhāvati»	proposed	
R0154	punctuation	|		8	5	3	0	H N	SS.1.14.36 N «avacūrṇṇāṅgulyagreṇāvapīḍayet || sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā» -> «avacūrṇṇyāṅgulyagreṇāvapīḍayet | sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā» ‖ SS.5.2.41 H «pāyayet || tṛtīye» -> «pāyayet | tṛtīye» ‖ SS.5.2.42 H «pāyayed bhiṣak || pañcame» -> «pāyayed bhiṣak | pañcame»	proposed	
R0155	punctuation		 |	6	4	5	30	H K	SS.1.1.22 H «kasmāl lokadvaividhyāl loko hi» -> «kasmāl | lokadvaividhyāl | loko hi» ‖ SS.1.1.22 K «anyat tasmāt puruṣo» -> «anyat | tasmāt puruṣo» ‖ SS.1.1.22 H «anyat tasmāt puruṣo» -> «anyat | tasmāt puruṣo»	proposed	
R0156	punctuation		| 	6	3	5	4	H N	SS.1.1.22 H «kasmāl lokadvaividhyāl loko hi» -> «kasmāl | lokadvaividhyāl | loko hi» ‖ SS.1.13.19 N «syād atha» -> «syād | atha» ‖ SS.1.13.19 H «syād atha» -> «syād | atha»	proposed	
R0157	punctuation	| 		4	3	4	6	H K N	SS.1.1.38 N «kriyāgrahaṇāt | snehādīni» -> «kriyāgrahaṇāt snehādīni» ‖ SS.1.13.19 H «| rogaṅ» -> «rogaṅ» ‖ SS.1.13.19 H «gṛhṇīyāt | anyāṅ» -> «gṛhṇīyāt anyāṅ»	proposed	
R0158	punctuation		|| 	1	1	1	1	H	SS.5.7.62 H «cirāt svāhā» -> «cirāt || svāhā»	proposed	
R0159	punctuation	.		1	1	1	0	K	SS.5.2.15 K «pra.kīrtitau» -> «prakīrtitau»	proposed	
R0160	punctuation	|	 	1	1	1	0	K	SS.1.1.35 K «bhavanti cātra|| śārīrāṇāṃ» -> «bhavanti cātra | śārīrāṇāṃ»	proposed	
R0161	punctuation	||		1	1	1	0	N	SS.1.2.3 N «ato||» -> «ato»	proposed	
R0162	punctuation	|| 		1	1	1	1	K	SS.1.14.28 K «|| vāta viṅ mūtrasaṃgeṣu» -> «vātaviṇmūtrasaṃgeṣu»	proposed	
R0163	sibilant	s	ś	6	3	3	6	H K N	SS.1.1.40 H «arthavasād vibhajya uttare» -> «arthavaśād vibhajya uttare» ‖ SS.1.14.16 N «sa sabdācci jala santānavad aṇunā» -> «sa śabdārcijālasantānavad aṇunā» ‖ SS.5.8.29-verse-1 K «svetā» -> «śvetā»	proposed	
R0164	sibilant	ś	s	6	2	4	6	H K N	SS.1.14.9 H «bhavati cātra || viśratā» -> «bhavanti cātra || visratā» ‖ SS.1.14.9 K «pṛthivyādiguṇāś» -> «pṛthivyādiguṇās» ‖ SS.1.14.21 K «viśrāvi» -> «visrāvi»	proposed	
R0165	sibilant		ś	3	2	2	0	H K	SS.1.1.4 K «vidhavedanābhighātopadrutāṃ sanāthān anāthavad viceṣṭamānān vikrośata» -> «vividhavedanābhighātopadrutān sanāthān anāthavad viceṣṭamānān vikrośataś» ‖ SS.5.1.45 K «vikṛtā» -> «vikṛtāś» ‖ SS.5.1.45 H «vikṛtā» -> «vikṛtāś»	proposed	
R0166	sibilant	s		2	1	1	0	H K	SS.5.8.105 K «piṭakās» -> «piṭakā» ‖ SS.5.8.105 H «piḍakās» -> «piṭakā»	proposed	
R0167	sibilant	ṣ	ś	2	1	1	0	H K	SS.5.4.45 K «uṣanti vai ||» -> «uśanti vai» ‖ SS.5.4.45 H «uṣanti vai ||» -> «uśanti vai»	proposed	
R0168	sibilant	 s	ś	1	1	1	0	N	SS.1.16.10 N «dāha pāka srāva sopha yuktā na» -> «dāhapākasrāvaśophayuktā na»	proposed	
R0169	sibilant	 ś	s	1	1	1	0	H	SS.1.16.10 H «dāha pāka śrāva śopha yuktā na» -> «dāhapākasrāvaśophayuktā na»	proposed	
R0170	sibilant	s 		1	1	1	0	H	SS.5.5.68 H «mānsīhareṇus tṛphalāmuruṅgī» -> «māṃsīhareṇutriphalāmuruṅgī»	proposed	
R0171	visarga	s	ḥ	7	2	3	1	H K N	SS.1.1.8.1 K «pratyekāṅgalakṣaṇasamāsas» -> «pratyekāṅgalakṣaṇasamāsaḥ» ‖ SS.1.1.8.1 H «pratyekāṅgalakṣaṇasamāsas» -> «pratyekāṅgalakṣaṇasamāsaḥ» ‖ SS.1.1.8.1 N «pratyekāṅgalakṣaṇasamāsas» -> «pratyekāṅgalakṣaṇasamāsaḥ»	proposed	
R0172	visarga	ḥ	r	3	2	2	1	H N	SS.1.1.12 N «ta ūcuḥ» -> «ta ūcur» ‖ SS.1.16.10 N «stabdhasirātatasūkṣmapāliḥ» -> «stabdhasirātatasūkṣmapālir» ‖ SS.1.16.10 H «stabdhasirātatasūkṣmapāliḥ» -> «stabdhasirātatasūkṣmapālir»	proposed	
R0173	visarga	r	ḥ	1	1	1	3	H	SS.1.1.3 H «ūcur» -> «ūcuḥ»	proposed	
R0174	visarga	ḥ	s	1	1	1	7	H	SS.5.4.34.add-5 H «vyatirekajāḥ» -> «vyatirekajās»	proposed	
R0175	vocalic-r	ṛ	ri	1	1	1	0	H	SS.5.5.68 H «mānsīhareṇus tṛphalāmuruṅgī» -> «māṃsīhareṇutriphalāmuruṅgī»	proposed	
R0176	vowel-length	a	ā	7	4	6	5	H K N	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.13.20 H «ārddraplotāvacchannaṅ» -> «ārdraplotāvacchannāṅ»	proposed	
R0177	vowel-length	ā	a	5	4	4	7	H K	SS.1.14.36 K «avacūrṇṇāṅgulyagreṇāvapīḍayet | sālasarjārjunārimedagranthidhavadhanvanatvagbhi vā» -> «avacūrṇṇyāṅgulyagreṇāvapīḍayet | sālasarjarjunārimedagranthidhavadhanvanatvagbhir vā» ‖ SS.5.1.20 K «sphoṭāyed vilikhed mahīṃ |» -> «sphoṭayed vilikhed mahīm» ‖ SS.5.3.35.2 H «raukṣyātaikṣṇyoṣṇyād vikāsitvāt tathaiva» -> «saukṣmyataikṣṇyoṣṇyād vikāsitvāt tathaiva»	proposed	
R0178	vowel-length	u	ū	3	2	3	0	H K N	SS.1.2.6 K «brūyāt | kāmakrodhalobhamohamānāhaṅkarerṣyāmātsaryaparuṣapaiśunyānṛtālasyātyayaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.2.6 H «brūyāt| kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapāruṣya paiśunyānṛtālasyāyaśasyāni» -> «brūyāt | kāmakrodhalobhamohamānāhaṃkārerṣyāmātsaryapārūṣyapaiśunyānṛtālasyāsyayaśasyāni» ‖ SS.1.16.17 N «ruḍho» -> «'rūḍho»	proposed	
R0179	vowel-length	i 	ī	1	1	1	0	H	SS.5.3.35.1 H «garbbhiṇi kuṣṭhimehirūkṣeṣu» -> «garbhiṇīkuṣṭhimehirūkṣeṣu»	proposed	
